average_price,total_volume,small_sold,large_sold,x_large_sold,total_bags,small_bags,large_bags,x_large_bags,type,year,region,month,ratio_small_sold,ratio_large_sold,ratio_x_large_sold,ratio_small_bags,ratio_large_bags,ratio_x_large_bags
1.12,111140.93,584.63,100961.46,368.95,9225.89,9116.34,109.55,0,conventional,2015,Albany,August,0.005260258304478827,0.9084093501826915,0.0033196591030865046,0.9881258068327284,0.011874193167271667,0
1.45,75133.1,509.94,62035.06,741.08,11847.02,11768.52,78.5,0,conventional,2015,Albany,August,0.006787155062149704,0.8256688463540036,0.009863562131736878,0.9933738611059997,0.006626138894000348,0
1.11,106757.1,648.75,91949.05,966.61,13192.69,13061.53,131.16,0,conventional,2015,Albany,July,0.0060768791958567625,0.8612921295164443,0.009054292407718082,0.9900581306769127,0.009941869323087254,0
1.26,96617,1042.1,82049.4,2238.02,11287.48,11103.49,183.99,0,conventional,2015,Albany,July,0.01078588654170591,0.8492232215862632,0.02316383245184595,0.9836996388919405,0.01630036110805955,0
1.05,124055.31,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany,July,0.0054189538521164475,0.7633169430635416,0.034320497848903044,0.9941952938576206,0.004440506059700637,0.0013642000826787927
1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0,conventional,2015,Albany,July,0.007958197973641152,0.664523031681216,0.0538493898333506,0.9921144414387657,0.007885558561234237,0
1.37,89534.81,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0,conventional,2015,Albany,June,0.0074186788356394575,0.6427197421874241,0.05207706365825761,0.986860740047288,0.013139259952711865,0
1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662,213.65,0,conventional,2015,Albany,June,0.007668237268714677,0.731416272426573,0.05227669898699459,0.9902334330637032,0.00976656693629675,0
1.32,89631.3,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0,conventional,2015,Albany,June,0.009489765294043486,0.6180981420552865,0.04883550723910062,0.9772623755326679,0.022737624467332056,0
1.07,122743.06,656.71,99220.82,90.32,22775.21,22314.99,460.22,0,conventional,2015,Albany,June,0.005350282125930379,0.8083619554539377,7.358460836808207e-4,0.9797929415359947,0.020207058464005383,0
1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0,conventional,2015,Albany,May,0.009696540144288033,0.7408222058832497,5.314137540181923e-4,0.9806376501677928,0.019362349832207325,0
1.19,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,0,conventional,2015,Albany,May,0.006704088886164517,0.7034214042231414,5.784909192200996e-4,0.9797882005632406,0.020211799436759437,0
1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0,conventional,2015,Albany,May,0.010473115756261272,0.7460135391794477,8.585670141502439e-4,0.9860447964995889,0.013955203500411142,0
1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0,conventional,2015,Albany,May,0.011794857188836043,0.8469840587617937,0.0015416692027620507,0.9830126090135721,0.016987390986427924,0
1.2,59197.67,919.87,45490.05,217.24,12570.51,12201.95,368.56,0,conventional,2015,Albany,May,0.015538956178511755,0.7684432512293137,0.0036697390285800103,0.9706805849563781,0.029319415043621937,0
1.22,49585.46,875.65,35841.75,89.62,12778.44,12076.83,701.61,0,conventional,2015,Albany,April,0.01765941064174861,0.722827820897497,0.0018073846647787477,0.9450942368552029,0.05490576314479702,0
1.19,49064.73,774.15,33941.51,47.15,14301.92,13602.97,698.95,0,conventional,2015,Albany,April,0.015778136351713337,0.6917700352167433,9.609754298046682e-4,0.9511289393312226,0.04887106066877734,0
1.13,48364.29,864.27,30374.15,21.5,17104.37,16438.49,665.88,0,conventional,2015,Albany,April,0.01787000284714197,0.6280284482621372,4.445428641669298e-4,0.9610695980033175,0.03893040199668272,0
1.16,47362.13,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany,April,0.020306730292746548,0.7511836988750296,0.0019796406960582223,0.919863472067138,0.07042727426940593,0.009709253663456036
1.02,67799.08,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0,conventional,2015,Albany,March,0.02068287652280827,0.8646609953999376,0.0013200769095981833,0.9381070993534685,0.06189290064653153,0
1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0,conventional,2015,Albany,March,0.046213065181344576,0.7403644476377574,0.003059539105678164,0.9490177093355051,0.050982290664494966,0
1.11,43045.79,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0,conventional,2015,Albany,March,0.04944176886984767,0.7073205068370216,0.002315441300995986,0.9632522040481395,0.036747795951860486,0
1.07,40507.36,795.68,30370.64,159.05,9181.99,8827.55,354.44,0,conventional,2015,Albany,March,0.019642850089465223,0.7497560937074151,0.003926446946925201,0.9613983461101568,0.03860165388984305,0
0.99,55595.74,629.46,45633.34,181.49,9151.45,8986.06,165.39,0,conventional,2015,Albany,March,0.011322090505495565,0.8208064143044053,0.003264458751695724,0.9819274541192924,0.018072545880707426,0
1.07,45675.05,1088.38,35056.13,151,9379.54,9000.16,379.38,0,conventional,2015,Albany,February,0.023828764281593563,0.7675115845521788,0.0033059624455802454,0.9595523874305135,0.04044761256948635,0
1.06,41567.62,986.66,30045.51,222.42,10313.03,9979.87,333.16,0,conventional,2015,Albany,February,0.023736263947755486,0.7228104471701771,0.005350799492489586,0.9676952360266575,0.03230476397334246,0
0.99,51253.97,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0,conventional,2015,Albany,February,0.026483216812278148,0.76309815610381,0.003185119123455217,0.9521312352069473,0.047868764793052604,0
0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,conventional,2015,Albany,February,0.019103022846306664,0.8468202546505327,0.002530138161459274,0.983657936455158,0.016342063544842,0
1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,conventional,2015,Albany,January,0.020851209923030068,0.7352823522897172,0.0036356387396865824,0.9315432120392926,0.06845678796070745,0
1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,conventional,2015,Albany,January,0.020537266059300025,0.7085916199219614,0.0030502380520173768,0.977354343786831,0.022645656213169142,0
1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,conventional,2015,Albany,January,0.024343926507728594,0.7680611373979611,0.0030858053922944197,0.9538586810085022,0.04614131899149769,0
1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,conventional,2015,Albany,January,0.06898149597976967,0.6920760947004987,0.001220846479656147,0.9455017568126665,0.05449824318733366,0
0.99,386100.49,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,conventional,2015,Atlanta,December,0.7565319588172499,0.07083886373726177,7.715607923729907e-4,0.7325213689962264,0.26747863100377356,0
1.08,331377.53,251774.15,20702.45,103.06,58797.87,46930.26,11867.61,0,conventional,2015,Atlanta,December,0.7597803930761388,0.0624739100445344,3.110047926303271e-4,0.798162586501858,0.20183741349814202,0
0.96,417772.47,324932.28,31019.08,275.8,61545.31,38903.57,22628.21,13.53,conventional,2015,Atlanta,December,0.7777733176147295,0.07424874118679961,6.601679617615781e-4,0.6321126662616534,0.3676674957035719,2.19838034774705e-4
1.07,357636.82,283024.01,23740.85,181.92,50690.04,37032.67,13654.66,2.71,conventional,2015,Atlanta,December,0.7913726836067941,0.0663825665377519,5.086724571591929e-4,0.7305709366179233,0.26937560120291876,5.3462179157877956e-5
0.99,333280.79,250288.65,28889.63,307.83,53794.68,33031.72,20738.55,24.41,conventional,2015,Atlanta,November,0.750984327659569,0.08668255377095092,9.236355926784739e-4,0.6140332092318422,0.3855130284258592,4.537623422985321e-4
1,356414.57,269799.03,29732.3,501.16,56382.08,36992.3,19389.78,0,conventional,2015,Atlanta,November,0.756980922525137,0.08342055152234658,0.001406115356058536,0.6561003070479131,0.3438996929520869,0
1.13,339860.68,263915.78,28442.45,455.97,47046.48,33656.42,13390.06,0,conventional,2015,Atlanta,November,0.7765410814807998,0.08368855732295952,0.0013416379911909788,0.7153865708975463,0.2846134291024535,0
1.12,334041.6,250441.38,34483.33,488.24,48628.65,35662.93,12941.12,24.6,conventional,2015,Atlanta,November,0.7497311113346362,0.10323064552438979,0.001461614361804039,0.7333728162307611,0.26612130914594584,5.058746232930588e-4
0.99,419088.74,290457.5,62980.07,252.79,65398.38,39460.77,25929.39,8.22,conventional,2015,Atlanta,November,0.6930692053430021,0.15027860209272145,6.031896729079383e-4,0.6033906344469083,0.39648367436624576,1.2569118684591272e-4
1.09,358478.08,236814.29,64607.97,304.36,56751.46,31826.88,24924.58,0,conventional,2015,Atlanta,October,0.6606102387069246,0.1802285093693874,8.490337819260804e-4,0.5608116513654451,0.43918834863455497,0
1.09,349072.48,228710.28,59731.79,291.22,60339.19,36884.35,23454.84,0,conventional,2015,Atlanta,October,0.6551942450461864,0.1711157235884078,8.342680007315387e-4,0.6112834792777297,0.3887165207222702,0
0.95,433874.46,255933.32,91047.32,599.71,86294.11,41159.96,45134.15,0,conventional,2015,Atlanta,October,0.5898787405001898,0.20984715256113484,0.001382220101178576,0.47697299386945413,0.5230270061305459,0
0.96,418682.26,265797.09,92780.33,644.43,59460.41,14875.64,44584.77,0,conventional,2015,Atlanta,October,0.6348420159956145,0.2216008148995852,0.0015391863032362535,0.25017721875782556,0.7498227812421743,0
1.07,370321.17,262107.44,61870.63,680.8,45662.3,20533.87,25125.65,2.78,conventional,2015,Atlanta,September,0.707784110749056,0.16707289513046203,0.001838404215454385,0.449689787855627,0.5502493304104261,6.0881733946822645e-5
0.93,516432.6,346118.51,82762.72,1349.41,86201.96,33698.43,52442.25,61.28,conventional,2015,Atlanta,September,0.6702104204885595,0.16025851195296348,0.002612945038713668,0.39092417388189316,0.6083649374097758,7.108887083309938e-4
1.07,417232.18,278048.26,62485.97,714.93,75983.02,46290.32,29678.76,13.94,conventional,2015,Atlanta,September,0.6664113491917139,0.14976306477606785,0.0017135063743165735,0.6092192703053919,0.3905972676526939,1.8346204191410133e-4
0.97,472136.53,303113.24,73675.85,911.25,94436.19,49833.55,44549.67,52.97,conventional,2015,Atlanta,September,0.6420033628831897,0.15604776440408033,0.0019300561216900542,0.5276954735255627,0.47174361862756214,5.609078468752286e-4
1.15,382972.72,275818.27,44839.12,1034.09,61281.24,47138.07,14112.5,30.67,conventional,2015,Atlanta,August,0.7202034390334644,0.11708175976607421,0.002700166215494409,0.7692088149652324,0.2302907056058265,5.004794289410593e-4
1.12,379054.29,274462.42,46223.69,950.09,57418.09,45534.11,11883.98,0,conventional,2015,Atlanta,August,0.724071530756188,0.1219447747181545,0.0025064747321551224,0.7930272497744179,0.20697275022558223,0
1.09,465213.81,362579.51,41992.44,1424.96,59216.9,45068.25,14148.65,0,conventional,2015,Atlanta,August,0.7793825166110181,0.09026481823486711,0.003063021710383017,0.7610707416295011,0.23892925837049894,0
1.01,503791.72,385027.71,47040.07,4251.74,67472.2,45820.45,21568.48,83.27,conventional,2015,Atlanta,August,0.7642597024024135,0.09337205859596105,0.008439479711973036,0.6791011705561698,0.3196646915322162,0.0012341379116139685
1.15,405898.44,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,conventional,2015,Atlanta,August,0.7553314568048105,0.10324449633262942,0.008660984260003562,0.7817365618375188,0.21749239909501725,7.710390674639699e-4
1.08,437377.75,335372.02,44087.07,708,57210.66,45114.22,12096.44,0,conventional,2015,Atlanta,July,0.7667788770690782,0.1007986117263624,0.0016187380359426148,0.7885631803583458,0.2114368196416542,0
0.97,557212.99,446100.17,47838.42,1982.03,61292.37,45099.87,16192.5,0,conventional,2015,Atlanta,July,0.8005918347309168,0.08585302363464282,0.0035570419849688,0.7358154041033166,0.26418459589668336,0
1.14,407204.88,310080.33,37953.24,867.46,58303.85,46023.59,12280.26,0,conventional,2015,Atlanta,July,0.7614848083353029,0.09320428576396235,0.0021302789887979734,0.7893748011494952,0.21062519885050474,0
1.01,562462.33,436377.91,54675.38,848.55,70560.49,50684.74,19851,24.75,conventional,2015,Atlanta,July,0.7758349079128553,0.09720718541275467,0.0015086343649004903,0.7183161568180719,0.2813330803116588,3.507628702691832e-4
1.13,435210.71,331353.43,37698.53,816.56,65342.19,52099.76,13108.03,134.4,conventional,2015,Atlanta,June,0.7613632256430454,0.08662132878117819,0.0018762405915975734,0.7973372181128303,0.20060591786103282,0.002056864026136865
0.99,554763.76,449311.47,30231.78,678.4,74542.11,55484.76,19010.81,46.54,conventional,2015,Atlanta,June,0.8099149627221504,0.05449487183517539,0.0012228628632843645,0.7443411515987407,0.25503450331631344,6.243450849459454e-4
1.1,465804.78,386370.5,17701.12,471.72,61261.44,48612.13,12578.28,71.03,conventional,2015,Atlanta,June,0.8294687315145198,0.038001155763150385,0.0010126989250732893,0.793519218614515,0.2053213244742533,0.0011594569112316
0.99,551009.05,455565.92,22414.17,738.68,72290.28,50954.84,21329.99,5.45,conventional,2015,Atlanta,June,0.8267848232256801,0.040678406280259816,0.0013405950410433365,0.7048643330749307,0.29506027642997096,7.539049509837284e-5
1.1,454702,382900.99,19543.18,522.81,51735.02,40505.16,11199.95,29.91,conventional,2015,Atlanta,May,0.8420921614595933,0.04298019362131682,0.0011497860136968827,0.7829350409065272,0.21648682072607686,5.781383673960115e-4
0.96,623212.04,538126.94,27284.43,1260.8,56539.87,33867,22651.15,21.72,conventional,2015,Atlanta,May,0.86347327307733,0.04378033197176357,0.0020230674619187393,0.5989932414064624,0.40062260489810114,3.841536954365123e-4
1.11,451250.7,386400.89,18618.84,838.68,45392.29,33710.2,11682.09,0,conventional,2015,Atlanta,May,0.8562887326268968,0.0412605232523739,0.0018585677540223205,0.742641536701497,0.25735846329850287,0
1.1,480071.18,413452.96,18860.63,1089.33,46668.26,34108.44,12559.82,0,conventional,2015,Atlanta,May,0.8612326197127684,0.03928715320923868,0.0022691010112292098,0.7308701888606947,0.26912981113930534,0
1,634213.1,538403.48,28568.26,1059.73,66181.63,32520.82,33660.81,0,conventional,2015,Atlanta,May,0.8489315026763087,0.04504520641405862,0.0016709367876507125,0.4913874136977285,0.5086125863022715,0
1.12,448596.76,387676.81,18366.33,1041.78,41511.84,31315.29,10196.55,0,conventional,2015,Atlanta,April,0.8641988631393592,0.04094173573612079,0.0023223083465872558,0.7543700785125401,0.24562992148745996,0
1.12,430966.34,368709.65,18040.85,873.24,43342.6,29661.72,13680.88,0,conventional,2015,Atlanta,April,0.8555416416047713,0.041861389917365696,0.002026237130259407,0.6843548841093982,0.31564511589060185,0
0.99,451101.89,377578.48,22419.95,219.14,50884.32,25833.07,25051.25,0,conventional,2015,Atlanta,April,0.8370137398448939,0.049700412472224405,4.857882550658344e-4,0.507682327286677,0.4923176727133231,0
1.04,383139.49,318473.47,19254.39,374.51,45037.12,28612.48,16289.92,134.72,conventional,2015,Atlanta,April,0.8312206867530152,0.050254255963017545,9.774768975132268e-4,0.6353088296942611,0.3616998600265736,0.002991310279165275
1.11,365722.14,305028.89,16651.99,261.01,43780.25,29313.92,14466.33,0,conventional,2015,Atlanta,March,0.8340454586643291,0.045531807289545013,7.136838912733038e-4,0.6695694976616168,0.33043050233838317,0
1,479590.62,393591.03,23419.6,304.89,62275.1,40495.12,21766.54,13.44,conventional,2015,Atlanta,March,0.8206812510219654,0.04883248133585265,6.357296979661529e-4,0.6502618221407915,0.3495223612647752,2.1581659443340917e-4
1.12,399566.22,336172.08,16508.21,310.7,46575.23,34911.7,11625.94,37.59,conventional,2015,Atlanta,March,0.8413425939760374,0.041315329408977565,7.775932610119044e-4,0.7495765453010107,0.24961637333836031,8.07081360628815e-4
1.1,420826.32,361559.22,15788.71,236.97,43241.42,33847.33,9394.09,0,conventional,2015,Atlanta,March,0.8591649400636348,0.03751835198901057,5.631064140664965e-4,0.782752509052663,0.21724749094733709,0
0.99,512532.44,441544,21183.7,347.78,49456.96,32180.9,17273.38,2.68,conventional,2015,Atlanta,March,0.8614947377769883,0.0413314326016125,6.785521712537844e-4,0.650684959204933,0.34926085226427184,5.4188530795261175e-5
1.1,431308.56,369316.29,18324.76,237.47,43430.04,33423.74,10006.3,0,conventional,2015,Atlanta,February,0.8562693260713397,0.042486427813999326,5.505803084455361e-4,0.7695995674883098,0.23040043251169004,0
1.06,427391.28,364446.77,17420.41,638.18,44885.92,26727.66,18158.26,0,conventional,2015,Atlanta,February,0.8527239254857983,0.040759862952749054,0.0014931984573948254,0.5954575510538717,0.4045424489461283,0
1.03,433883.91,377256.38,17162.5,524.85,38940.18,18044.41,20895.77,0,conventional,2015,Atlanta,February,0.8694869095284037,0.03955551151919877,0.0012096553661093358,0.46338794530482397,0.536612054695176,0
0.96,636771.37,553198.56,31583.38,294.94,51694.49,10553.73,41140.76,0,conventional,2015,Atlanta,February,0.8687553901803092,0.04959924627264571,4.6318037194417207e-4,0.20415580074394776,0.7958441992560523,0
1.1,449332.85,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0,conventional,2015,Atlanta,January,0.8755384121147608,0.041657915729953865,0.0013225162593832169,0.35989108536617337,0.6401089146338266,0
1.11,431490.99,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0,conventional,2015,Atlanta,January,0.8626759970121276,0.043342504092611533,0.0011858648543275493,0.41914357670037916,0.5808564232996207,0
1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0,conventional,2015,Atlanta,January,0.8311339219090719,0.0476885100549697,0.0028554918575794826,0.4530289076424888,0.5469710923575112,0
1,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0,conventional,2015,Atlanta,January,0.837435387387414,0.05475858215648151,1.8884124552099715e-4,0.35686997912456464,0.6431300208754354,0
1.17,596819.4,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0,conventional,2015,BaltimoreWashington,December,0.06777676798039742,0.6603404983149006,0.02907712115256307,0.983664329371594,0.016335670628405966,0
1.11,642682.4,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0,conventional,2015,BaltimoreWashington,December,0.0696166100083027,0.6762139744296716,0.029738079026281096,0.9827634964888257,0.017236503511174266,0
1.15,619509.33,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0,conventional,2015,BaltimoreWashington,December,0.07167004248346026,0.6454327168890258,0.039210386064726425,0.987441698901238,0.012558301098761923,0
1.04,649141.25,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0,conventional,2015,BaltimoreWashington,December,0.07876450618413174,0.6987485389350931,0.03968395168231876,0.9869194758992481,0.01308052410075189,0
1.16,545800.05,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0,conventional,2015,BaltimoreWashington,November,0.07517066002467386,0.6946794709894218,0.03691375623728872,0.9824370891418728,0.017562910858127202,0
1.12,572019.8,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0,conventional,2015,BaltimoreWashington,November,0.07144472971040512,0.6750426820889767,0.04080888458756148,0.9781120734625329,0.021887926537467146,0
1.04,718330.48,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0,conventional,2015,BaltimoreWashington,November,0.06558227906464445,0.7008892063162906,0.052886924692378365,0.9656082181029707,0.03439178189702926,0
1.05,830967.23,58579.27,576512.71,51035.04,144840.21,138777.63,6062.58,0,conventional,2015,BaltimoreWashington,November,0.07049528294876321,0.6937851327783408,0.061416429141255065,0.9581429770089398,0.04185702299106029,0
1.12,742220.67,51860.07,473819.14,58615.76,157925.7,152716.4,5209.3,0,conventional,2015,BaltimoreWashington,November,0.06987149791988412,0.6383804158943728,0.0789734944999578,0.9670142351751487,0.03298576482485118,0
1.19,656892.03,53766.25,397911.35,49085.74,156128.69,149987.55,6141.14,0,conventional,2015,BaltimoreWashington,October,0.08184944792221029,0.6057484819841702,0.07472421304913685,0.9606661658404998,0.03933383415950009,0
0.99,1005603.78,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0,conventional,2015,BaltimoreWashington,October,0.05879209205040976,0.7412315614008531,0.0488973201751489,0.9637676694993681,0.03623233050063175,0
1.24,653560.14,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0,conventional,2015,BaltimoreWashington,October,0.05310455438729785,0.5998049391445445,0.08949459494270871,0.9721693674570587,0.027830632542941252,0
1.28,657444.04,35342.34,407609.95,42257.73,172234.02,167494.61,4739.41,0,conventional,2015,BaltimoreWashington,October,0.05375718365322772,0.6199918551242779,0.06427578231601279,0.9724827301830381,0.02751726981696183,0
1.19,696281.81,34309.05,451061.03,59018.61,151893.12,146792.81,5100.31,0,conventional,2015,BaltimoreWashington,September,0.04927466078713158,0.6478138930557442,0.0847625331473186,0.9664217181133682,0.03357828188663187,0
1.17,709268.62,39619.87,450283.01,45336.12,174029.62,168889.78,5139.84,0,conventional,2015,BaltimoreWashington,September,0.055860176078281885,0.6348553951251925,0.06391953446354359,0.9704657172727263,0.02953428272727367,0
1.09,924993.61,55699.25,675524.33,42270.47,151499.56,145686.02,5813.54,0,conventional,2015,BaltimoreWashington,September,0.060215821382809336,0.7303016179755014,0.045698121092966254,0.9616266872326229,0.038373312767377016,0
1.18,823623.36,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington,September,0.07758853512848397,0.6344750105193714,0.0827809813456481,0.980622336966544,0.01934487631120257,3.278672225337816e-5
1.24,734721.29,48455.25,458207.46,42754.34,185304.24,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington,August,0.06595051846122493,0.623647995827098,0.05819123602638491,0.9820001420366853,0.017047100487285128,9.527574760296905e-4
1.16,783935.36,59242.02,499100.39,47216.18,178376.77,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington,August,0.07557003169240892,0.6366601322843761,0.06022968526384625,0.9813337801777664,0.0171571668216663,0.0015090530005672825
1.14,882754.72,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington,August,0.09797968568211111,0.6765013162433161,0.048827391146659634,0.9819284265109839,0.017931166687556722,1.4040680145933315e-4
1.16,821523.45,56362.75,557363.94,42933.87,164862.89,161564.81,3298.08,0,conventional,2015,BaltimoreWashington,August,0.06860759726335262,0.678451649797702,0.05226128359452187,0.9799950128255059,0.020004987174493907,0
1.17,800603.23,53957.63,535167.1,44749.58,166728.92,163667.68,3061.24,0,conventional,2015,BaltimoreWashington,August,0.06739621822410084,0.6684548349873632,0.055894828203478526,0.9816394180445719,0.018360581955428005,0
1.2,772926.12,52746.41,496508.65,45010.81,178660.25,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington,July,0.0682424990372948,0.6423753023122055,0.05823429799474237,0.9782522973073193,0.02171742175441935,3.0280938261308825e-5
1.18,800194.34,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington,July,0.06617759880680986,0.6201074478982194,0.06288452377706145,0.9806913938697273,0.01924149541018974,6.711072008307979e-5
1.1,850931.58,58827.99,547537.41,50679.01,193887.17,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington,July,0.06913363116691473,0.6434564456991948,0.059557091534903434,0.9760125953666764,0.02272481464348569,0.001262589989837904
1.16,896298.77,66504.67,567640.7,56044.51,206108.89,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington,July,0.07419922042289537,0.6333163884627443,0.06252882618593798,0.9708362894972652,0.02857989289059778,5.838176121369631e-4
1.15,862261.64,65051.95,534535.21,51109.85,211564.63,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington,June,0.07544340021898689,0.6199222894804876,0.05927417807894133,0.9802115315778446,0.019013149787844973,7.753186343104705e-4
